url,title,title_len,meta_desc,meta_desc_len,h1_count,h1_text,word_count,structured_data,issues_count,warnings_count,issues,warnings
https://www.hyundai.com/in/en,"Hyundai Cars: Sedan, SUV, Hatchback, EV | Hyundai Motor India",61,"Visit Hyundai India website, check offers and book new Hyundai car online. Find nearest dealer/showr",154,1,['Hyundai Cars'],2204,2,0,2,,"Title too long (61 chars, max 60): 'Hyundai Cars: Sedan, SUV, Hatchback, EV | Hyundai Motor Indi...'; Duplicate alt text used too many times: [('prime-hb', 5), ('Close', 5), ('icon', 5)]"
https://www.hyundai.com/in/en/find-a-car,"Find Cars by Price, Body Type, Transmission & Seating | Explore Models",70,"Discover car models based on price, body type, transmission, and seating capacity. Use smart filters",160,0,[],1265,3,1,2,MISSING: No H1 tag found,"Title too long (70 chars, max 60): 'Find Cars by Price, Body Type, Transmission & Seating | Expl...'; Duplicate alt text used too many times: [('Close', 5), ('icon', 5)]"
https://www.hyundai.com/in/en/click-to-buy.html,Buy a Hyundai Car | Hyundai Motor India,39,"Build your perfect Hyundai with our Car Configurator. Choose from trim, engine, colour, interior and",136,1,['Check out the New Hyundai EXTER'],591,2,0,3,,"Meta description ends with a call-to-action placeholder: ' options and prices. See more.'; Missing Open Graph tags: og:image; Duplicate alt text used too many times: [('Close', 5), ('icon', 5)]"
https://www.hyundai.com/in/en/connect-to-service.html,Connect to Service | Hyundai Motor India,40,"At Hyundai, we put all our efforts to provide customers with the best. After Sales Service. Hyundai ",155,1,['Here is our promise for valuable Hyundai customers'],726,1,0,2,,"Missing Open Graph tags: og:image; Duplicate alt text used too many times: [('Close', 5), ('icon', 5)]"
https://www.hyundai.com/in/en/contact-us.html,"Hyundai Contact: Smart Connect with Helpline Number, Email, Enquiry & Feedback | Hyundai India",94,Contact Hyundai India customer support and get assistance in case of queries. Reach our customer car,194,1,['A Smarter Way to Connect'],795,2,0,3,,"Title too long (94 chars, max 60): 'Hyundai Contact: Smart Connect with Helpline Number, Email, ...'; Meta desc too long (194 chars, max 160); Duplicate alt text used too many times: [('Close', 5), ('"
https://www.hyundai.com/in/en/utility/contact-us,"Hyundai Contact: Smart Connect with Helpline Number, Email, Enquiry & Feedback | Hyundai India",94,Contact Hyundai India customer support and get assistance in case of queries. Reach our customer car,194,1,['A Smarter Way to Connect'],795,2,0,3,,"Title too long (94 chars, max 60): 'Hyundai Contact: Smart Connect with Helpline Number, Email, ...'; Meta desc too long (194 chars, max 160); Duplicate alt text used too many times: [('Close', 5), ('"
https://www.hyundai.com/in/en/find-a-car/creta/highlights.html,"Hyundai CRETA King, Knight, King Limited Edition car Price, Features and Variant",80,"Hyundai CRETA Car Price starting from Rs.10.79 Lakh*. Check price, features, images, variant options",179,1,['CRETA KING LIMITED EDITION'],2384,5,0,4,,"Title too long (80 chars, max 60): 'Hyundai CRETA King, Knight, King Limited Edition car Price, ...'; Meta desc too long (179 chars, max 160); Canonical (https://www.hyundai.com/in/en/find-a-car/creta"
https://www.hyundai.com/in/en/find-a-car/venue/highlights.html,"Hyundai Venue Car - Price, Specifications, Features & Images | Hyundai India",76,"Hyundai Venue: Check price, features, specs, images & design online. Starts at Rs. 7.99 Lakh. Call 1",146,0,[],2294,4,1,3,MISSING: No H1 tag found,"Title too long (76 chars, max 60): 'Hyundai Venue Car - Price, Specifications, Features & Images...'; Canonical (https://www.hyundai.com/in/en/find-a-car/venue/highlights) != page URL (https://www.hyu"
https://www.hyundai.com/in/en/find-a-car/i20/highlights.html,"Hyundai i20 - Price, Specifications, Features | Hyundai India",61,"Hyundai i20 Car: Check price, features, images, specification & design online. Price starting at jus",156,1,['Hyundai i20 - Attract Attention.'],1705,6,0,3,,"Title too long (61 chars, max 60): 'Hyundai i20 - Price, Specifications, Features | Hyundai Indi...'; Canonical (https://www.hyundai.com/in/en/find-a-car/i20/highlights) != page URL (https://www.hyund"
https://www.hyundai.com/in/en/find-a-car/verna/highlights.html,"Hyundai Verna - Price, Specifications, Features | Hyundai India",63,"Hyundai Verna Car: Check price, features, images, specification & design online. Price starting at j",159,1,['The Hyundai VERNA.Futuristic. Ferocious.'],1353,3,0,4,,"Title too long (63 chars, max 60): 'Hyundai Verna - Price, Specifications, Features | Hyundai In...'; Canonical (https://www.hyundai.com/in/en/find-a-car/verna/highlights) != page URL (https://www.hyu"
https://www.hyundai.com/in/en/find-a-car/tucson/highlights.html,Blog List Page,14,Blog List Page,14,1,['Hyundai Blog'],2583,2,0,4,,"Meta desc too short (14 chars, min 50): 'Blog List Page'; Canonical (https://org2.hyundai.com/in/en/blog) != page URL (https://www.hyundai.com/in/en/blog); Missing Open Graph tags: og:image; Duplicate"
